"ratingDate","partial_entry"
"Diulas pada 30 Januari 2023","Bangunan Sejarah yang keren, tempatnya bersih, suasana juga klasik bagus buat foto-foto. ikon kota Semarang pastinya nyempetin ke sini dong. banyak kucing hehe."
"Diulas pada 23 November 2022","Banyak spot foto Instagrammable di tempat iniPastikan anda menjelajahi setiap sudut cantik bangunan iniKlasik, mewah, gagah adalah kesan yang akan anda dapatkan selama mengunjungi tempat iniAura mistis lekat dengan tempat iniSejuk, rindang dengan banyak pepohonanRekomend buat temen temen yang mo mengunjungi tempat ini"
"Diulas pada 21 September 2022","salah satu destinasi wisata yg ada di semarang yg bisa anda kunjungi jika sedang liburan di semarang, disini sekitar di lawang sewu ada banyak tempat yg bisa sekalian kalian nikmati, harga untuk tiket masuknya terjangkau. disini kalian bisa berjalan2 sambil menikmati sejarah terbangunnya lawang sewu dan bisa berselfi2 ria untuk mengabadikan moment ketika berkunjung"
"Diulas pada 30 Oktober 2021","Icon Semarang. Gedung bersejarah ini dulu kantor Kereta api jaman hindia belanda. Sekarang tetap dijaga kelestariannya. Disarankan memakai pemandu yang menjelaskan sejarah bangunan. Pengalaman yang berkesan."
"Diulas pada 9 Oktober 2021","Jalan-jalan ke Semarang , Jawa Tengah belum lengkap jika belum mengunjungi sebuah spot bersejarah Lawang Sewu. Lawang Sewu artinya Seribu Pintu, karena bangunan ini memiliki banyak pintu besar. Ini perjalanan kedua saya ke Semarang, tempat pertama yang saya kunjungi adalah sebuah landmark kota Semarang yaitu sebuah bangunan bersejarah yang dimiiliki oleh PT. Kereta Api Indonesia (Persero) yang dulunya digunakan sebagai Kantor Pusat Perusahaan Kereta Api Swasta pada zaman Kolonial Belanda di Indonesia.Kini gedung ini dimanfaatkan sebagai museum yang menyimpan beragam koleksi dari masa ke masa Perkeretaapian Indonesia. Disamping menjadi tempat wisata sejarah, bangunan ini juga disewa untuk tempat Pameran, pentas seni, syuting, pemotretan. Nah, bagi kamu yang berkesempatan mengunjungi Kota Semarang . Pastikan mengunjungi gedung ikonik bersejarah ini. Selama masa pandemi , Museum ini dibuka untuk umum dengan mengikuti protokol kesehatan yang telah ditetapkan, untuk tiket masuk dikenakan biaya Rp.10.000 per orang ."
"",""
"Diulas pada 21 Agustus 2020","Lawang Sewu atau pintu seribu sesuai dengan namanya karena banguan ini berpintu banyak sekali, tentu tidak sampai seribu tapi saya yakin lebih dari seratus, kompleks cukup luas terdiri dari beberapa bangunan bersejarah yang sudah berumur ratusan tahun, bagus sekali bagi yang senang berfoto ria karena banyak spot2 yang bagus untuk difoto, harus mampir"
"Diulas pada 19 Agustus 2020","Gedung tua yang penuh sejarah. Buka jam 8 pagi saat pendemi. Ada jasa pemandu wisata, tapi kita tidak menggunakan. Bangunan masih bagus. Ada juga tempat sewa kostum buat dewasa dan anak."
"Diulas pada 9 Maret 2020","Rame dengan pengunjung, letaknya dekat kemana-mana. Disekitaran Lawang Sewu juga banyak pilihan hotel dan dekat Gereja Katedral"
"Diulas pada 23 Februari 2020","Cocok untuk wisata edukasi sejarah.kalau mengunjungi tempat sejarah bersama anak2 sebaiknya di siang hari"
