Ulasan,Sentiment Score,Sentiment
bangunan sejarah yang keren tempatnya bersih suasana juga klasik bagus buat foto foto ikon kota semarang pastinya nyempetin ke sini dong banyak kucing hehe,6,positif
banyak spot foto instagrammable di tempat inipastikan anda menjelajahi setiap sudut cantik bangunan iniklasik mewah gagah adalah kesan yang akan anda dapatkan selama mengunjungi tempat iniaura mistis lekat dengan tempat inisejuk rindang dengan banyak pepohonanrekomend buat temen temen yang mo mengunjungi tempat ini,-16,negatif
salah satu destinasi wisata yg ada di semarang yg bisa anda kunjungi jika sedang liburan di semarang disini sekitar di lawang sewu ada banyak tempat yg bisa sekalian kalian nikmati harga untuk tiket masuknya terjangkau disini kalian bisa berjalan sambil menikmati sejarah terbangunnya lawang sewu dan bisa berselfi ria untuk mengabadikan moment ketika berkunjung,2,positif
icon semarang gedung bersejarah ini dulu kantor kereta api jaman hindia belanda sekarang tetap dijaga kelestariannya disarankan memakai pemandu yang menjelaskan sejarah bangunan pengalaman yang berkesan,-8,negatif
jalan jalan ke semarang jawa tengah belum lengkap jika belum mengunjungi sebuah spot bersejarah lawang sewu lawang sewu artinya seribu pintu karena bangunan ini memiliki banyak pintu besar ini perjalanan kedua saya ke semarang tempat pertama yang saya kunjungi adalah sebuah landmark kota semarang yaitu sebuah bangunan bersejarah yang dimiiliki oleh pt kereta api indonesia persero yang dulunya digunakan sebagai kantor pusat perusahaan kereta api swasta pada zaman kolonial belanda di indonesia kini gedung ini dimanfaatkan sebagai museum yang menyimpan beragam koleksi dari masa ke masa perkeretaapian indonesia disamping menjadi tempat wisata sejarah bangunan ini juga disewa untuk tempat pameran pentas seni syuting pemotretan nah bagi kamu yang berkesempatan mengunjungi kota semarang pastikan mengunjungi gedung ikonik bersejarah ini selama masa pandemi museum ini dibuka untuk umum dengan mengikuti protokol kesehatan yang telah ditetapkan untuk tiket masuk dikenakan biaya rp per orang,-59,negatif
lawang sewu atau pintu seribu sesuai dengan namanya karena banguan ini berpintu banyak sekali tentu tidak sampai seribu tapi saya yakin lebih dari seratus kompleks cukup luas terdiri dari beberapa bangunan bersejarah yang sudah berumur ratusan tahun bagus sekali bagi yang senang berfoto ria karena banyak spot yang bagus untuk difoto harus mampir,-48,negatif
gedung tua yang penuh sejarah buka jam pagi saat pendemi ada jasa pemandu wisata tapi kita tidak menggunakan bangunan masih bagus ada juga tempat sewa kostum buat dewasa dan anak,-10,negatif
rame dengan pengunjung letaknya dekat kemana mana disekitaran lawang sewu juga banyak pilihan hotel dan dekat gereja katedral,0,negatif
cocok untuk wisata edukasi sejarah kalau mengunjungi tempat sejarah bersama anak sebaiknya di siang hari,0,negatif
sangat bagus untuk pembelajaran dan wisata kurang leluasa dalam mengeksplor seluruh ruangan kurang tersedia tempat rehat setelah berkeliling,-6,negatif
bagus kl datang pas malem cakep bt foto cuma rada ngeri sedap angker karna bangunan kunodidlm gedung banyak foto bersejarah tentang gedung dan alat telekomunikasi dari masa ke masa,0,negatif
bagus sekali saya berkunjung kamis malam malam jumat ke lawang sewu semarang sengaja menggunakan jasa guide supaya mendapat penjelasan dan mendapat akses ke semua bagian gedung secara keseluruhan gedung ini masih bagus dan terawat pada malam hari tampak aroma seram tetapi tetap terlihat gagah gedung bersejarah arsitektural indah dan terpelihara baik recommended dech,0,negatif
sudah lama ingin berkunjung ke lawang sewu karena penasaran apa isinya ternyata hanya berisi info tentang perkereta apian saja sesuai namanya memang banyak sekali jendela pintunya kalau mau ke sini cukup sulit mendapatkan tempat parkir mobil dan mobil hanya bisa parkir di gedung lain disitat lokasi dan jalan kaki menuju lokasi cukup sekali berkunjung kesini hanya utk tahu saja krn tdk terlalu banyak hal yg mau dilihat,-49,negatif
dulu pada jaman belanda pernah digunakan untuk kantor kereta api lalu digunakan untuk menahan para pejuang indonesia terkenal bangunan yang angker juga dulu tapi setelah di renovasi sampai malam pun tidak terasa horornya,-14,negatif
tempat wisata mistis yg keren ada disini bangunannya masih bagus penuh sejarah sayang tidak semua bisa dilihat,-12,negatif
ini benar benar tempat yang indah and eksotik anda akan kecewa jika ke semarang tidak menyempatkan mampir,-18,negatif
kak ini placenya lumayan karena ga ngeluarin kocek yak tpi itu mitos ny bener gasi aku g percaya anj v,-1,negatif
keren gedung terawat dan bersih bpk guide nya ramah live musiknya bikin adem perlu tambahan yg jualan,18,positif
bagus tempatnya capek kelilingnya tempat parkirnya terbatas sayangnya akses ke penjara bawah tanah gak di buka dan akses ke lantai atas di gedung bagian depan ditutup bagus untuk mencari obyrk foto untuk medsos,-14,negatif
lawang sewu skitar km dr simpang lima kota semarang lokasi peninggalan belanda ini terkenal angker diberi peringkat no terserem disejagad bumi ini believe it or not it s up to you to decide lahan bangunan nya sangat luas srrta sangat kokoh konon katanya bahan bangunan yg dipakai sengaja didatangkan dr negri belanda msh terlihat utuh tdk pernah ada renovasi perbaikan sbetulnya klo di siang hari tdk terkesan angker serem sm skali kurang jelas klo stlh magrib tiba,-5,negatif
pertama kali kesemarang sendirian untuk ketemu teman disana pas di perjalanan ke kosan dia ada gedung tua gitu namanya lawang sewu tempatnya pas saya kira serem pas udah masuk kesananya ternyata keren banget untuk berfoto foto dan bersih jugaa keren deh pokoknya,-7,negatif
tempat ini lebih menarik didatangi saat menjelang malam karena lampu nyala semua sekalipun ada cerita mistis tentang tempat ini namun tidak sedikitpun mengurangi daya tarik lawang sewu banyak pengetahuan sejarah pt pos ditempat ini semacam musium pos lah spot foto jg banyak lawang sewu salah satu tempat yg wajib dikunjungi jika ke semarang tempat menarik dan bagus,-15,negatif
tempat yg dulu terkenal angker tdk pernah mampir selama kuliah di semarang walau dilewati setiap pulang mudik ke rumah banyak dikunjungi pelajar bagus utk belajar ttg sejarah perkereta apian,-3,negatif
dalam kunjungan tugas kali ini saya dan keluarga menyempatkan diri untuk mengunjungi lawang sewu mumpung ada kesempatan rasanya kurang afdol jika ke semarang tapi tidak mengunjungi tempat wisata ini bagian dari cagar budaya ini nyatanya menarik minat pengunjung untuk menjelajahinya kebetulan kami berkunjung di hari minggu dengan tiket masuk k unt dewasa dan k untuk anak di atas usia th di sana kita tidak hanya bisa melihat dan berfoto diberbagai spot yg instagramable tapi juga bisa menikmati hiburan live music yang melayani berbagai genre lagu meski basic mereka adalah keroncong adanya hubungan kotak sawer bagi pengunjung bagi anak tempat ini menarik karena ada tangga untuk menuju lantai jadi bisa main naik turun tangga selain itu ada toko pernak pernik dan baju souvernir lawang sewu dengan harga terjangkau dan kami cukup puas karena sudah mengunjungi tempat ini,-47,negatif
hei kalau kalian ada kesempatan untuk mengunjungi semarang kamu harus wajib ke tempat ini kenapa tempat ini adalah salah satu iconic semarang dan juga bangunan yang bagus banget disitu juga terdapat penjelasan penjelasan tentang lawang sewu tempo dulu dan masih banyak lagi tiket masuknya pun di jamin murah banget hihi,-30,negatif
lawang sewu demikian umumnya masyarakat menyebut bangunan tua yg bersejarah terletak di persimpangan pusat kota semarang jawa tengah bangunan yg dulunya merupakan bekas kantor kereta api banyak mwnyimpan nilai sejarah,7,positif
semarang banyak sekali wisata yang unik dan mencekam disana terasa hawa yang lumayan angker karena itu bangunan tua pokoknya tempatmya juoss bagus bangett,-36,negatif
gedung lawang sewu dahulu adalah kantor pusat perusahaan kereta api jaman penjajahan belanda sampai saat ini masih terawat dan renovasi masih terus berlangsung lantai bawah tanah yg merupakan tempat resapan air utk pendingin gedung saat ini sdh tertutup utk pengunjung banyak spot foto yg bagus ada juga pemandu wisata lokal dengan bayaran sukarela sebaiknya mengunjungi tempat ini sore atau malam hari kalau siang panasnya sangat menyengat dan tidak nyaman bagi pengunjung,-9,negatif
saya ketempat ini sktr jam setengah sore waktu yang tepat menghabiskan senja sembari menanti datangnya malam arstitektur gedungnya khas orientalis dari satu ruangan ke ruangan lain kita seperti menapaktilas sejarah kereta api di jawa tengah khususnya semarang sejak jaman hindia belanda cahaya lampu di malam hari membuat gedung ini tampak mempesona layaknya seorang permaisuri anda dapat menikmati keindahannya dengan hanya membayar ribu rupiah,-28,negatif
idn tempat tepat di segitiga emas wisata kota semarang jalan pemuda dulunya tempat wisata ini tidak terurus tetapi manajemenya semakin baik dari tahun ke tahun bahkan sistem tiketing menggaunakan elektronik tap cukup terjangkau untuk tiket masuk antara orang saya sarankan tidak membawa kendaraan pribadi karena cukup sulit untuk menemukan kantong parkir jenis wisata yang ditawarkan berupa wisata sejarah hiburan dan ada kafetaria mini di belakang bagus juga untuk foto foto saya sarankan wisatanya berkelompok agar bisa berkunjung setelahnya ke museum mandala bhakti eng located in the golden triangle of semarang tourist sites pemuda street this tourist attraction was not maintained now the management has been improved from year to year even the ticketing system uses electronic tap affordable for admission between person i recommend not bringing a private vehicle because it is quite difficult to find parking lot the types of tours offered are in the form of historical tours entertainment and there is a mini cafeteria behind idk its called culinary or not also good for photographs i suggest a group tour so that you can visit afterwards to the mandala bhakti museum,-43,negatif
