Ulasan,Sentiment Score,Sentiment
bangunan sejarah keren tempatnya bersih suasana klasik bagus buat foto foto ikon kota semarang pastinya nyempetin sini dong banyak kucing hehe,6,positif
banyak spot foto instagrammable tempat inipastikan menjelajahi sudut cantik bangunan iniklasik mewah gagah kesan akan dapatkan selama mengunjungi tempat iniaura mistis lekat tempat inisejuk rindang banyak pepohonanrekomend buat teman teman mau mengunjungi tempat,-16,negatif
salah satu destinasi wisata yang semarang yang anda kunjungi sedang liburan di semarang disini di lawang sewu banyak tempat yang sekalian kalian nikmati harga tiket masuknya terjangkau disini kalian berjalan menikmati sejarah terbangunnya lawang sewu bisa berselfi ria mengabadikan moment berkunjung,2,positif
icon semarang gedung bersejarah dahulu kantor kereta api jaman hindia belanda sekarang tetap dijaga kelestariannya disarankan memakai pemandu menjelaskan sejarah bangunan pengalaman berkesan,-8,negatif
jalan jalan semarang jawa tengah lengkap belum mengunjungi sebuah spot bersejarah lawang sewu lawang sewu artinya seribu pintu bangunan memiliki banyak pintu besar perjalanan kedua semarang tempat pertama saya kunjungi sebuah landmark kota semarang sebuah bangunan bersejarah dimiiliki perseroan terbatas kereta api indonesia persero dulunya digunakan kantor pusat perusahaan kereta api swasta zaman kolonial belanda indonesia kini gedung dimanfaatkan museum menyimpan beragam koleksi masa ke masa perkeretaapian indonesia disamping menjadi tempat wisata sejarah bangunan juga disewa tempat pameran pentas seni syuting pemotretan nah kamu berkesempatan mengunjungi kota semarang pastikan mengunjungi gedung ikonik bersejarah selama masa pandemik museum dibuka umum mengikuti protokol kesehatan telah ditetapkan tiket masuk dikenakan biaya rp per orang,-59,negatif
lawang sewu pintu seribu sesuai namanya banguan berpintu banyak sekali tidak seribu saya yakin lebih seratus kompleks cukup luas terdiri beberapa bangunan bersejarah sudah berumur ratusan tahun bagus sekali senang berfoto ria banyak spot yang bagus difoto mampir,-48,negatif
gedung tua penuh sejarah buka jam pagi pendemi jasa pemandu wisata kita menggunakan bangunan bagus juga tempat sewa kostum buat dewasa anak,-10,negatif
ramai pengunjung letaknya dekat mana disekitaran lawang sewu banyak pilihan hotel dekat gereja katedral,0,negatif
cocok wisata edukasi sejarah kalau mengunjungi tempat sejarah bersama anak sebaiknya siang hari,0,negatif
sangat bagus pembelajaran wisata kurang leluasa mengeksplor seluruh ruangan kurang tersedia tempat rehat berkeliling,-6,negatif
bagus kalau datang pas malam cakep bt foto cuma rada mengerikan sedap angker karena bangunan kunodidlm gedung banyak foto bersejarah gedung alat telekomunikasi masa masa,0,negatif
bagus sekali berkunjung kamis malam malam jumat lawang sewu semarang sengaja menggunakan jasa guide mendapat penjelasan mendapat akses semua bagian gedung keseluruhan gedung masih bagus terawat malam hari tampak aroma seram tetap terlihat gagah gedung bersejarah arsitektural indah terpelihara baik rekomendasi deh,0,negatif
lama berkunjung lawang sewu penasaran apa isinya ternyata berisi informasi perkereta apian sesuai namanya memang banyak sekali jendela pintunya kalau mau sini cukup sulit mendapatkan tempat parkir mobil mobil bisa parkir gedung disitat lokasi jalan kaki menuju lokasi cukup sekali berkunjung kesini untuk tahu karena tidak terlalu banyak yang mau dilihat,-49,negatif
dahulu jaman belanda pernah digunakan kantor kereta api lalu digunakan menahan pejuang indonesia terkenal bangunan angker dahulu setelah renovasi malam tidak terasa horornya,-14,negatif
tempat wisata mistis yang keren disini bangunannya bagus penuh sejarah sayang semua dilihat,-12,negatif
benar benar tempat indah and eksotik akan kecewa ke semarang menyempatkan mampir,-18,negatif
kak placenya lumayan tidak ngeluarin kocek yak tetapi mitos nya benar gasi aku tidak percaya anj v,-1,negatif
keren gedung terawat bersih bapak guide nya ramah live musiknya bikin adem perlu tambahan yang jualan,18,positif
bagus tempatnya capek kelilingnya tempat parkirnya terbatas sayangnya akses penjara bawah tanah tidak buka akses lantai atas gedung bagian depan ditutup bagus mencari obyrk foto media sosial,-14,negatif
lawang sewu skitar kami dari simpang lima kota semarang lokasi peninggalan belanda terkenal angker diberi peringkat nomor terserem disejagad bumi believe it or not it s up to you to decide lahan bangunan nya sangat luas srrta sangat kokoh konon katanya bahan bangunan yang dipakai sengaja didatangkan dari negri belanda masih terlihat utuh tidak pernah renovasi perbaikan sbetulnya kalau siang hari tidak terkesan angker serem sama sekali kurang jelas kalau setelah magrib tiba,-5,negatif
pertama kali kesemarang sendirian ketemu teman disana pas perjalanan indekos ada gedung tua begitu namanya lawang sewu tempatnya pas kira serem pas sudah masuk kesananya ternyata keren banget berfoto foto bersih juga keren deh pokoknya,-7,negatif
tempat lebih menarik didatangi menjelang malam lampu nyala semua sekalipun cerita mistis tempat namun sedikit pun mengurangi daya tarik lawang sewu banyak pengetahuan sejarah perseroan terbatas pos ditempat semacam musium pos lah spot foto juga banyak lawang sewu salah satu tempat yang wajib dikunjungi ke semarang tempat menarik bagus,-15,negatif
tempat yang dahulu terkenal angker tidak pernah mampir selama kuliah semarang dilewati pulang mudik rumah banyak dikunjungi pelajar bagus untuk belajar tentang sejarah perkereta apian,-3,negatif
kunjungan tugas kali saya keluarga menyempatkan diri mengunjungi lawang sewu mumpung kesempatan rasanya kurang afdol ke semarang tidak mengunjungi tempat wisata bagian cagar budaya nyatanya menarik minat pengunjung menjelajahinya kebetulan berkunjung hari minggu tiket masuk ke unt dewasa ke anak atas usia th sana tidak melihat berfoto diberbagai spot yang instagramable juga menikmati hiburan live music melayani berbagai genre lagu meski basic adalah keroncong adanya hubungan kotak sawer pengunjung anak tempat menarik tangga menuju lantai jadi bisa main naik turun tangga itu ada toko pernak pernik baju souvernir lawang sewu harga terjangkau kami cukup puas sudah mengunjungi tempat,-47,negatif
hei kalau kalian kesempatan mengunjungi semarang kamu wajib tempat kenapa tempat adalah salah satu iconic semarang bangunan bagus banget disitu juga terdapat penjelasan penjelasan lawang sewu tempo dahulu masih banyak tiket masuknya di jamin murah banget hihi,-30,negatif
lawang sewu umumnya masyarakat menyebut bangunan tua yang bersejarah terletak persimpangan pusat kota semarang jawa tengah bangunan yang merupakan bekas kantor kereta api banyak mwnyimpan nilai sejarah,7,positif
semarang banyak sekali wisata unik mencekam disana terasa hawa lumayan angker itu bangunan tua pokoknya tempatmya juoss bagus banget,-36,negatif
gedung lawang sewu adalah kantor pusat perusahaan kereta api jaman penjajahan belanda terawat renovasi masih terus berlangsung lantai bawah tanah yang merupakan tempat resapan air untuk pendingin gedung saat sudah tertutup untuk pengunjung banyak spot foto yang bagus juga pemandu wisata lokal bayaran sukarela sebaiknya mengunjungi tempat ini sore malam hari kalau siang panasnya sangat menyengat tidak nyaman pengunjung,-9,negatif
ketempat sktr jam setengah sore waktu tepat menghabiskan senja sembari menanti datangnya malam arstitektur gedungnya khas orientalis satu ruangan ruangan kita menapaktilas sejarah kereta api jawa tengah khususnya semarang sejak jaman hindia belanda cahaya lampu malam hari membuat gedung tampak mempesona layaknya seorang permaisuri dapat menikmati keindahannya hanya membayar ribu rupiah,-28,negatif
idn tempat tepat segitiga emas wisata kota semarang jalan pemuda tempat wisata terurus manajemenya semakin baik tahun tahun bahkan sistem tiketing menggaunakan elektronik tap cukup terjangkau tiket masuk orang sarankan tidak membawa kendaraan pribadi cukup sulit menemukan kantong parkir jenis wisata ditawarkan berupa wisata sejarah hiburan ada kafetaria mini belakang bagus untuk foto foto sarankan wisatanya berkelompok bisa berkunjung setelahnya museum mandala bhakti eng located in the golden triangle of semarang tourist sites pemuda street ini tourist attraction ragu ragu not maintained now the management has been improved from year to year even the ticketing system uses electronic tap affordable for admission between person i rekomendasi not bringing a private vehicle because it is quite difficult to find parking lot the types of tours offered are in the form of historical tours entertainment and there is a mini cafeteria behind i dont know its called culinary or not also bagus for photographs i suggest a group tour so that you can visit afterwards to the mandala bhakti museum,-43,negatif
bangunan sekarang dicat ulang membuat bangunan terasa lebih cantik bawa kipas angin susah masuk taman tengah tengah gedung gedungnya terlalu saling berdekatan jadi celah angin masuk dikit banget,-23,negatif
kunjungan pertama bersama teman belum pada itu berkunjung kesemua lokasi ke penjara bawah tanahny beberapa lokasi kurang terawat juga parkiran mobil susah jangkaulebih baik naik ojek daring,-14,negatif
first entrance fee nya terjangkau pelajar dpr harga spesial memasuki area depan disuguhi bangunan kuno sangat menarik memasuki area suasana tempo dahulu lebih terasa nya banyaj hal yang dipelajari wajib foto area dalan yang menunjukan banyaknya pintu obyek wisata lawang sewu harus sampai rooftop biar kakak kurang begitu suasana di kamar mandi nyaman masih terasa bangunan kuno nya let s visit lawamg sewu semarang,2,positif
gedung salah satu ciri khas semarang konon ceritanya tempat sangat angker sekali sekarang berkurang katanya sih hehe dahulu orang imannya lemah gampang kerasukan disana lebih cenderung wanita datang bulan sudah serasa uji nyali ehhehhe percaya tidak percaya sih informasi jaga gedung kalau mau lebih uji nyali lantai dasarnya paling serem kita tidak punya akses untuk sana takutnya terjadi yang diinginkan biaya masuknya idr ke kalau mau pakai guide yang mungkin menjelaskan sejarah sejarah yang ada dalam bayar loh ehheheheh,-67,negatif
lawang sewu berbeda tahun sekarang bersih tidak menyeramkan bersih selalu aktifitas performance salut untuk pemerintah kota makassar,-15,negatif
beberapa kali berkunjung semarang baru kali kesampaian masuk lawang sewu tidak se horror aku denger sih bangunannya memang kolonial banget banyak pintu entah jumlah tepatnya berapa banyak saja hahaha tips dariku kalau mau berkunjung kesini sih pagi hari dan bukan weekend jadi tidak terlalu ramai paling ada pemandangan sepasang pasang calon pengantin prewed,-24,negatif
tidak lengkap rasanya bila semarang mengunjungi tempat setiap sudut memiliki makna sayang tidak mengabadikan foto berasa disini,3,positif
warga asli semarang tinggal semarang jarang pergi lawang sewu kesan masuk kedalam komplek lawang sewu terasa seram sedikit notlagia iya penataan lawang sewu sekarang cukup bagus bila dibandingkan waktu datang pertama kali tempat tapatnya bersama ibu ketika masih sudah sarang laba laba berkurang semak belukar juga bangunan terlihat tua dibandingkan beberapa tahun belakang saya baiknya di lawang sewu diadakan sebuah pentas seni musik drama jadwalnya rutin sebulan sekali lebih menarik pengunjung lebih banyak pesan terakhir saya semoga hantu disana lebih akrab dengan manusia datang hahahaha bercanda,-65,negatif
salah satu tempat bersejarah kota semarang desain bangunan sangat khas zaman penjajahan era belanda,-4,negatif
tempat bersejarah wajin datang melihat sekitaran tempat karena kelihatan gedung kuno juga sejarah dibaliknya lebih baik pergi siang tidak terlalu horor,-29,negatif
gedung tua pernah menjadi kantor pjka dipugar di perbaikan kesan angker tidak nampak berganti bangunan klasik resik nyaman dikunjungi datanglah pagi hari menikmati suasana lebih nyaman,-10,negatif
ada tamu teman datang semarang selalu bertanya lawang sewu apa sih ayuk kuantar kesana setelahnya selalu ckckckc hebat bagus banget,-7,negatif
kalau semarang mampir lawang sewu yang merupakan salah satu destinasi tujuan wisata lawang sewu merupakan bekas peninggalan belanda terdiri banyak ruang pintu konon mencapai pintu disebut lawang pintu sewu seribu tiket masuk rp dewasa buka mulai pagi hingga malam hari menyediakan pemandu wisata dapat menjelaskan kondisi lawang sewu sejarahnya apabila berfoto area taman pohon besar sering digunakan wisatawan duduk melepas lelah mengambil foto,-19,negatif
beberapa kelompok orang lawang sewu dianggap tempat horor menyeramkan anggapan tidak sepenuhnya salah memang kesan pertama pertama memasuki area seperti tapi kesan tidak menghalangi melanjutkan wisata banyak informasi terkait perkembangan perkeretaapian indonesia sejak zaman kolonial beberapa diorama bagus dalamnya juga terdapat tempat makan cfc jadi saat kelaparan berjalan cukup lama area sangat luas anda langsung pesan makanan cfc tiket masuk sangat murah rp ribu dewasa rp ribu anak anak anda juga membayar menggunakan aplikasi ovo gopay untuk mendapatkan cashback cashback ovo,-77,negatif
bangunan arsitektur indah masih terawat sangat baik menyipan berbagai sejarah jaman jaman,-1,negatif
pelayanan guidenya bagus tempat wisata edukatif tempatnya bersih tangga dan pintu pintu banyak hampir tidak debunya perawatannya bagus,-18,negatif
