Ulasan,Sentiment Score,Sentiment
bangunan sejarah keren tempatnya bersih suasana klasik bagus buat foto foto ikon kota semarang pastinya nyempetin sini dong banyak kucing hehe,6,positif
banyak spot foto instagrammable tempat inipastikan menjelajahi sudut cantik bangunan iniklasik mewah gagah kesan akan dapatkan selama mengunjungi tempat iniaura mistis lekat tempat inisejuk rindang banyak pepohonanrekomend buat temen temen mo mengunjungi tempat,-16,negatif
salah satu destinasi wisata yg semarang yg anda kunjungi sedang liburan di semarang disini di lawang sewu banyak tempat yg sekalian kalian nikmati harga tiket masuknya terjangkau disini kalian berjalan menikmati sejarah terbangunnya lawang sewu bisa berselfi ria mengabadikan moment berkunjung,2,positif
icon semarang gedung bersejarah dulu kantor kereta api jaman hindia belanda sekarang tetap dijaga kelestariannya disarankan memakai pemandu menjelaskan sejarah bangunan pengalaman berkesan,-8,negatif
jalan jalan semarang jawa tengah lengkap belum mengunjungi sebuah spot bersejarah lawang sewu lawang sewu artinya seribu pintu bangunan memiliki banyak pintu besar perjalanan kedua semarang tempat pertama saya kunjungi sebuah landmark kota semarang sebuah bangunan bersejarah dimiiliki pt kereta api indonesia persero dulunya digunakan kantor pusat perusahaan kereta api swasta zaman kolonial belanda indonesia kini gedung dimanfaatkan museum menyimpan beragam koleksi masa ke masa perkeretaapian indonesia disamping menjadi tempat wisata sejarah bangunan juga disewa tempat pameran pentas seni syuting pemotretan nah kamu berkesempatan mengunjungi kota semarang pastikan mengunjungi gedung ikonik bersejarah selama masa pandemi museum dibuka umum mengikuti protokol kesehatan telah ditetapkan tiket masuk dikenakan biaya rp per orang,-59,negatif
lawang sewu pintu seribu sesuai namanya banguan berpintu banyak sekali tidak seribu saya yakin lebih seratus kompleks cukup luas terdiri beberapa bangunan bersejarah sudah berumur ratusan tahun bagus sekali senang berfoto ria banyak spot yang bagus difoto mampir,-48,negatif
gedung tua penuh sejarah buka jam pagi pendemi jasa pemandu wisata kita menggunakan bangunan bagus juga tempat sewa kostum buat dewasa anak,-10,negatif
rame pengunjung letaknya dekat mana disekitaran lawang sewu banyak pilihan hotel dekat gereja katedral,0,negatif
cocok wisata edukasi sejarah kalau mengunjungi tempat sejarah bersama anak sebaiknya siang hari,0,negatif
sangat bagus pembelajaran wisata kurang leluasa mengeksplor seluruh ruangan kurang tersedia tempat rehat berkeliling,-6,negatif
bagus kl datang pas malem cakep bt foto cuma rada ngeri sedap angker karna bangunan kunodidlm gedung banyak foto bersejarah gedung alat telekomunikasi masa masa,0,negatif
