Ulasan,Sentiment Score,Sentiment
bangun sejarah keren tempat bersih suasana klasik bagus buat foto foto ikon kota semarang pasti nyempetin sini dong banyak kucing hehe,6,positif
banyak spot foto instagrammable tempat inipastikan jajah sudut cantik bangun iniklasik mewah gagah kesan akan dapat lama unjung tempat iniaura mistis lekat tempat inisejuk rindang banyak pepohonanrekomend buat teman teman mau unjung tempat,-16,negatif
salah satu destinasi wisata yang semarang yang anda kunjung sedang libur di semarang sini di lawang sewu banyak tempat yang sekali kalian nikmat harga tiket masuk jangkau sini kalian jalan nikmat sejarah bangun lawang sewu bisa berselfi ria abadi moment kunjung,2,positif
icon semarang gedung sejarah dahulu kantor kereta api jaman hindia belanda sekarang tetap jaga lestari saran pakai pandu jelas sejarah bangun alam kesan,-8,negatif
jalan jalan semarang jawa tengah lengkap belum unjung buah spot sejarah lawang sewu lawang sewu arti ribu pintu bangun milik banyak pintu besar jalan dua semarang tempat pertama saya kunjung buah landmark kota semarang buah bangun sejarah dimiiliki persero batas kereta api indonesia persero dulunya guna kantor pusat usaha kereta api swasta zaman kolonial belanda indonesia kini gedung manfaat museum simpan agam koleksi masa ke masa perkeretaapian indonesia samping jadi tempat wisata sejarah bangun juga sewa tempat pamer pentas seni syuting potret nah kamu sempat unjung kota semarang pasti unjung gedung ikonik sejarah lama masa pandemik museum buka umum ikut protokol sehat telah tetap tiket masuk kena biaya rp per orang,-59,negatif
lawang sewu pintu ribu sesuai nama banguan pintu banyak sekali tidak ribu saya yakin lebih ratus kompleks cukup luas diri beberapa bangun sejarah sudah umur ratus tahun bagus sekali senang foto ria banyak spot yang bagus foto mampir,-48,negatif
gedung tua penuh sejarah buka jam pagi demi jasa pandu wisata kita guna bangun bagus juga tempat sewa kostum buat dewasa anak,-10,negatif
ramai unjung letak dekat mana sekitar lawang sewu banyak pilih hotel dekat gereja katedral,0,negatif
cocok wisata edukasi sejarah kalau unjung tempat sejarah sama anak baik siang hari,0,negatif
sangat bagus ajar wisata kurang leluasa mengeksplor seluruh ruang kurang sedia tempat rehat keliling,-6,negatif
bagus kalau datang pas malam cakep bt foto cuma rada keri sedap angker karena bangun kunodidlm gedung banyak foto sejarah gedung alat telekomunikasi masa masa,0,negatif
bagus sekali kunjung kamis malam malam jumat lawang sewu semarang sengaja guna jasa guide dapat jelas dapat akses semua bagi gedung seluruh gedung masih bagus awat malam hari tampak aroma seram tetap lihat gagah gedung sejarah arsitektural indah pelihara baik rekomendasi deh,0,negatif
lama kunjung lawang sewu penasaran apa isi nyata isi informasi kereta api sesuai nama memang banyak sekali jendela pintu kalau mau sini cukup sulit dapat tempat parkir mobil mobil bisa parkir gedung sitat lokasi jalan kaki tuju lokasi cukup sekali kunjung kesini untuk tahu karena tidak terlalu banyak yang mau lihat,-49,negatif
dahulu jaman belanda pernah guna kantor kereta api lalu guna tahan juang indonesia kenal bangun angker dahulu telah renovasi malam tidak asa horor,-14,negatif
tempat wisata mistis yang keren sini bangun bagus penuh sejarah sayang semua lihat,-12,negatif
benar benar tempat indah and eksotik akan kecewa ke semarang sempat mampir,-18,negatif
kak placenya lumayan tidak ngeluarin kocek yak tetapi mitos nya benar gas aku tidak percaya anj v,-1,negatif
keren gedung awat bersih bapak guide nya ramah live musik bikin adem perlu tambah yang jual,18,positif
bagus tempat capek keliling tempat parkir batas sayang akses penjara bawah tanah tidak buka akses lantai atas gedung bagi depan tutup bagus cari obyrk foto media sosial,-14,negatif
lawang sewu skitar kami dari simpang lima kota semarang lokasi tinggal belanda kenal angker beri peringkat nomor rem disejagad bumi believe it or not it s up to you to decide lahan bangun nya sangat luas srrta sangat kokoh konon kata bahan bangun yang pakai sengaja datang dari negri belanda masih lihat utuh tidak pernah renovasi baik sbetulnya kalau siang hari tidak kes angker rem sama sekali kurang jelas kalau telah magrib tiba,-5,negatif
pertama kali kesemarang sendiri ketemu teman sana pas jalan indekos ada gedung tua begitu nama lawang sewu tempat pas kira rem pas sudah masuk kesana nyata keren banget foto foto bersih juga keren deh pokok,-7,negatif
tempat lebih tarik datang jelang malam lampu nyala semua sekalipun cerita mistis tempat namun sedikit pun kurang daya tarik lawang sewu banyak tahu sejarah persero batas pos tempat macam musium pos lah spot foto juga banyak lawang sewu salah satu tempat yang wajib kunjung ke semarang tempat tarik bagus,-15,negatif
tempat yang dahulu kenal angker tidak pernah mampir lama kuliah semarang lewat pulang mudik rumah banyak kunjung ajar bagus untuk ajar tentang sejarah kereta api,-3,negatif
kunjung tugas kali saya keluarga sempat diri unjung lawang sewu mumpung sempat rasa kurang afdol ke semarang tidak unjung tempat wisata bagi cagar budaya nyata tarik minat unjung jelajah betul kunjung hari minggu tiket masuk ke unt dewasa ke anak atas usia th sana tidak lihat foto bagai spot yang instagramable juga nikmat hibur live music layan bagai genre lagu meski basic adalah keroncong ada hubung kotak sawer unjung anak tempat tarik tangga tuju lantai jadi bisa main naik turun tangga itu ada toko pernak pernik baju souvernir lawang sewu harga jangkau kami cukup puas sudah unjung tempat,-47,negatif
hei kalau kalian sempat unjung semarang kamu wajib tempat kenapa tempat adalah salah satu iconic semarang bangun bagus banget situ juga dapat jelas jelas lawang sewu tempo dahulu masih banyak tiket masuk di jamin murah banget hihi,-30,negatif
lawang sewu umum masyarakat sebut bangun tua yang sejarah letak simpang pusat kota semarang jawa tengah bangun yang rupa bekas kantor kereta api banyak mwnyimpan nilai sejarah,7,positif
semarang banyak sekali wisata unik cekam sana asa hawa lumayan angker itu bangun tua pokok tempatmya juoss bagus banget,-36,negatif
gedung lawang sewu adalah kantor pusat usaha kereta api jaman jajah belanda awat renovasi masih terus langsung lantai bawah tanah yang rupa tempat resap air untuk dingin gedung saat sudah tutup untuk unjung banyak spot foto yang bagus juga pandu wisata lokal bayar sukarela baik unjung tempat ini sore malam hari kalau siang panas sangat sengat tidak nyaman unjung,-9,negatif
tempat sktr jam tengah sore waktu tepat habis senja sembari nanti datang malam arstitektur gedung khas orientalis satu ruang ruang kita menapaktilas sejarah kereta api jawa tengah khusus semarang sejak jaman hindia belanda cahaya lampu malam hari buat gedung tampak pesona layak orang permaisuri dapat nikmat indah hanya bayar ribu rupiah,-28,negatif
idn tempat tepat segitiga emas wisata kota semarang jalan pemuda tempat wisata urus manajemenya makin baik tahun tahun bahkan sistem tiketing menggaunakan elektronik tap cukup jangkau tiket masuk orang saran tidak bawa kendara pribadi cukup sulit temu kantong parkir jenis wisata tawar upa wisata sejarah hibur ada kafetaria mini belakang bagus untuk foto foto saran wisata kelompok bisa kunjung telah museum mandala bhakti eng located in the golden triangle of semarang tourist sites pemuda street ini tourist attraction ragu ragu not maintained now the management has been improved from year to year even the ticketing system uses electronic tap affordable for admission between person i rekomendasi not bringing a private vehicle because it is quite difficult to find parking lot the types of tours offered are in the form of historical tours entertainment and there is a mini cafeteria behind i dont know its called culinary or not also bagus for photographs i suggest a group tour so that you can visit afterwards to the mandala bhakti museum,-43,negatif
bangun sekarang cat ulang buat bangun asa lebih cantik bawa kipas angin susah masuk taman tengah tengah gedung gedung terlalu saling dekat jadi celah angin masuk dikit banget,-23,negatif
kunjung pertama sama teman belum pada itu kunjung semua lokasi ke penjara bawah tanahny beberapa lokasi kurang awat juga parkir mobil susah jangkaulebih baik naik ojek daring,-14,negatif
first entrance fee nya jangkau ajar dpr harga spesial pasuk area depan suguh bangun kuno sangat tarik pasuk area suasana tempo dahulu lebih asa nya banyaj hal yang ajar wajib foto area dal yang tunjuk banyak pintu obyek wisata lawang sewu harus sampai rooftop biar kakak kurang begitu suasana di kamar mandi nyaman masih asa bangun kuno nya let s visit lawamg sewu semarang,2,positif
gedung salah satu ciri khas semarang konon cerita tempat sangat angker sekali sekarang kurang kata sih hehe dahulu orang iman lemah gampang rasuk sana lebih cenderung wanita datang bulan sudah serasa uji nyali ehhehhe percaya tidak percaya sih informasi jaga gedung kalau mau lebih uji nyali lantai dasar paling rem kita tidak punya akses untuk sana takut jadi yang ingin biaya masuk idr ke kalau mau pakai guide yang mungkin jelas sejarah sejarah yang ada dalam bayar loh ehheheheh,-67,negatif
lawang sewu beda tahun sekarang bersih tidak seram bersih selalu aktifitas performance salut untuk perintah kota makassar,-15,negatif
beberapa kali kunjung semarang baru kali sampai masuk lawang sewu tidak se horror aku denger sih bangun memang kolonial banget banyak pintu entah jumlah tepat berapa banyak saja hahaha tips dari kalau mau kunjung kesini sih pagi hari dan bukan weekend jadi tidak terlalu ramai paling ada pandang pasang pasang calon pengantin prewed,-24,negatif
tidak lengkap rasa bila semarang unjung tempat tiap sudut milik makna sayang tidak abadi foto asa sini,3,positif
warga asli semarang tinggal semarang jarang pergi lawang sewu kesan masuk dalam komplek lawang sewu asa seram sedikit notlagia iya tata lawang sewu sekarang cukup bagus bila banding waktu datang pertama kali tempat tapatnya sama ibu ketika masih sudah sarang laba laba kurang semak belukar juga bangun lihat tua banding beberapa tahun belakang saya baik di lawang sewu ada buah pentas seni musik drama jadwal rutin bulan sekali lebih tarik unjung lebih banyak pesan akhir saya moga hantu sana lebih akrab dengan manusia datang hahahaha canda,-65,negatif
salah satu tempat sejarah kota semarang desain bangun sangat khas zaman jajah era belanda,-4,negatif
tempat sejarah wajin datang lihat sekitar tempat karena lihat gedung kuno juga sejarah balik lebih baik pergi siang tidak terlalu horor,-29,negatif
gedung tua pernah jadi kantor pjka pugar di baik kesan angker tidak nampak ganti bangun klasik resik nyaman kunjung datang pagi hari nikmat suasana lebih nyaman,-10,negatif
ada tamu teman datang semarang selalu tanya lawang sewu apa sih ayuk antar kesana telah selalu ckckckc hebat bagus banget,-7,negatif
kalau semarang mampir lawang sewu yang rupa salah satu destinasi tuju wisata lawang sewu rupa bekas tinggal belanda diri banyak ruang pintu konon capai pintu sebut lawang pintu sewu ribu tiket masuk rp dewasa buka mulai pagi hingga malam hari sedia pandu wisata dapat jelas kondisi lawang sewu sejarah apabila foto area taman pohon besar sering guna wisatawan duduk lepas lelah ambil foto,-19,negatif
beberapa kelompok orang lawang sewu anggap tempat horor seram anggap tidak sepenuh salah memang kesan pertama pertama pasuk area seperti tapi kesan tidak halang lanjut wisata banyak informasi kait kembang perkeretaapian indonesia sejak zaman kolonial beberapa diorama bagus dalam juga dapat tempat makan cfc jadi saat lapar jalan cukup lama area sangat luas anda langsung pesan makan cfc tiket masuk sangat murah rp ribu dewasa rp ribu anak anak anda juga bayar guna aplikasi ovo gopay untuk dapat cashback cashback ovo,-77,negatif
bangun arsitektur indah masih awat sangat baik sip bagai sejarah jaman jaman,-1,negatif
layan guidenya bagus tempat wisata edukatif tempat bersih tangga dan pintu pintu banyak hampir tidak debu awat bagus,-18,negatif
malam malam ajak kesini sama cabang semarang ngerjain banget sudah tempat luas banget lampu terang banget malam malam banyak yang kesini,-11,negatif
salah satu tempat sejarah semarang lokasi pusat kota mudah cari bangun besar megah ciri khas lawang sewu lokomotif halaman depan jadi simbol gedung sebut bekas kantor kereta api jaman dahulu lupa berapa tiket masuk datang kesini benar kali belum pugar kira kira seperti sekarang dahulu waktu pertama kali datang lantai paling atas sempat turun bawah kalau kata tour guidenya bekas tempat tahan eksekusi beberapa ruang angker wisatawan larang masuk pasti waktu pertama kesana suasana mistis masih asa akhir ke lawang sewu beberapa bulan lalu sudah lebih bagus tidak kes mistis beberapa ruang ada koleksi benda benda diorama informasi lawang sewu,-44,negatif
bangun sejarah tinggal jaman jajah belanda sangat luar biasa bangun ribu pintu sangat indah kokoh masih awat apik,-8,negatif
unjung gedung lawang sewu kita asa di masa laludengan bangun yang kuno penuh makna sejarahsetiap sudut jadi spot foto,7,positif
tempat klasik instagramable kalau kata angker enggak sih sini pajang beberapa tinggal jaman jadi tambah wawas langsung,2,positif
lawang sewu bangun jaman belanda pintu banyak terlalu banyak sebut sewu arti ribu bangun telah pugar jaman perintah presiden surabaya sekarang jadi objek wisata populer semarang cukup tarik karena khas an bangun nya sejarah lawang sewu dan nya jalan bawah tanah hingga ini jadi misteri kita semua,-36,negatif
pernah unjung lawang sewu kali kali tempat bersih sudah bagus dalam lihat sejarah kereta api indonesia foto seragam tugas kai masa lalu bangun apik buat foto foto penuh galeri hehe,11,positif
